framenum	queue density		dynamic density
394		0.245927		0.0185258
395		0.249213		0.0175621
396		0.250219		0.0214327
397		0.251577		0.0226969
398		0.251878		0.0218346
399		0.252299		0.0239259
400		0.252237		0.025194
401		0.252603		0.0243629
402		0.252779		0.0271293
403		0.253197		0.0265597
404		0.253782		0.0264777
405		0.253821		0.0289163
406		0.255826		0.031035
407		0.258737		0.0332122
408		0.260551		0.0372818
409		0.265245		0.0439422
410		0.270084		0.0392835
411		0.273342		0.0494594
412		0.279456		0.0549688
413		0.285835		0.0579927
414		0.28873		0.0628465
415		0.295516		0.06875
416		0.301583		0.0704668
417		0.305067		0.0730459
418		0.311178		0.0817235
419		0.317475		0.100054
420		0.317885		0.0848528
421		0.323757		0.100936
422		0.330897		0.0999996
423		0.334678		0.10792
424		0.342591		0.11373
425		0.350925		0.117499
426		0.354671		0.125564
427		0.362428		0.130777
428		0.369599		0.133325
429		0.372713		0.139646
430		0.379377		0.147691
431		0.385921		0.147215
432		0.389202		0.1618
433		0.396327		0.160302
434		0.402289		0.121393
435		0.405797		0.164711
436		0.411134		0.172257
437		0.415056		0.172886
438		0.416772		0.172925
439		0.419913		0.18369
440		0.424412		0.179343
441		0.426308		0.166182
442		0.429562		0.146509
443		0.433258		0.16349
444		0.434998		0.158952
445		0.43982		0.169304
446		0.443867		0.159249
447		0.445322		0.194755
448		0.449165		0.17406
449		0.45231		0.147668
450		0.453641		0.204143
451		0.457137		0.204752
452		0.461089		0.147173
453		0.462232		0.222571
454		0.4648		0.22874
455		0.468721		0.134207
456		0.469459		0.216047
457		0.473466		0.211073
458		0.475881		0.133973
459		0.476767		0.19765
460		0.479361		0.179597
461		0.481277		0.126512
462		0.481995		0.152054
463		0.484207		0.153798
464		0.484925		0.112329
465		0.485725		0.137375
466		0.486794		0.150637
467		0.488472		0.161363
468		0.488503		0.172234
469		0.489697		0.18074
470		0.492081		0.104061
471		0.492748		0.127035
472		0.492752		0.101197
473		0.493935		0.0853639
474		0.494149		0.0861443
475		0.495811		0.071212
476		0.49532		0.0683286
477		0.494614		0.0512581
478		0.495191		0.0457995
479		0.4958		0.0884229
480		0.495956		0.0697488
481		0.497481		0.0473056
482		0.496771		0.0641653
483		0.496568		0.000331654
484		0.498285		0.0450269
485		0.498894		0.00131881
486		0.499319		0.0002146
487		0.499514		0.000476021
488		0.499514		0
489		0.498664		7.02327e-05
490		0.498152		0.000226305
491		0.498812		0.000109251
492		0.49914		0.000109251
493		0.499058		0.000401887
494		0.498921		0.00714032
495		0.497115		0
496		0.49704		0.000167778
497		0.497934		0.000600879
498		0.498324		3.90181e-06
499		0.499124		0
500		0.498675		0
501		0.49816		0
502		0.498297		0.00182215
503		0.499393		0.00362088
504		0.500802		0.00760074
505		0.50493		0.0127043
506		0.509124		0.0127238
507		0.510658		0.0184946
508		0.513752		0.0201997
509		0.515914		0.0218892
510		0.517287		0.0277458
511		0.520397		0.0316203
512		0.523975		0.0335673
513		0.525961		0.0378515
514		0.529574		0.0410471
515		0.533901		0.0395254
516		0.535789		0.0440866
517		0.539785		0.0470208
518		0.543304		0.0421513
519		0.545895		0.0532988
520		0.554955		0.0497286
521		0.557601		0.0415816
522		0.560156		0.0525809
523		0.562887		0.0556672
524		0.56588		0.0519683
525		0.567936		0.0578132
526		0.569688		0.0531934
527		0.570519		0.0336297
528		0.571491		0.0629012
529		0.573251		0.0660109
530		0.574039		0.0492877
531		0.574776		0.0683169
532		0.574757		0.0703146
533		0.574449		0.0492604
534		0.575217		0.072484
535		0.57652		0.0700922
536		0.576376		0.060802
537		0.576243		0.0543874
538		0.576688		0.0761673
539		0.577843		0.0586521
540		0.577371		0.0786879
541		0.576899		0.0781182
542		0.577785		0.0348159
543		0.578331		0.075703
544		0.577898		0.0985091
545		0.573719		0.0742476
546		0.574359		0.0727493
547		0.574328		0.0780246
548		0.573742		0.0538607
549		0.57329		0.0453703
550		0.572915		0.0504466
551		0.572377		0.0305239
552		0.572388		0.0509265
553		0.573294		0.0178352
554		0.571682		0.00088181
555		0.571468		0.00442856
556		0.57112		0.0163876
557		0.570984		0.000124858
558		0.571023		0.000288734
559		0.570551		0.0116976
560		0.569852		0.000394083
561		0.570293		0.010691
562		0.570227		0.0157555
563		0.569958		0.0546371
564		0.56899		0.0117171
565		0.567847		0.039658
566		0.56746		0.0152405
567		0.567289		0.000405789
568		0.566754		0.000319949
569		0.566395		0.00227086
570		0.563391		0.000577469
571		0.563024		0.00103398
572		0.562376		0.00179093
573		0.562287		0
574		0.562314		0.00182605
575		0.562973		0.00230987
576		0.562927		0.00329313
577		0.563621		0.00420616
578		0.565853		0.00363649
579		0.56739		0.00499822
580		0.569376		0.00412032
581		0.572357		0.00443636
582		0.573403		0.00438954
583		0.575471		0.00675404
584		0.577231		0.0062429
585		0.578202		0.00724567
586		0.580606		0.00607513
587		0.583622		0.00840451
588		0.584742		0.0126458
589		0.587797		0.00943459
590		0.59013		0.00778022
591		0.592237		0.0130477
592		0.594004		0.0107924
593		0.601558		0.0151117
594		0.602514		0.0194896
595		0.609826		0.00969211
596		0.616077		0.0138397
597		0.619503		0.0148854
598		0.623186		0.0196534
599		0.627564		0.0125014
600		0.63035		0.0133286
601		0.633159		0.025791
602		0.63607		0.015974
603		0.637182		0.0256154
604		0.639796		0.0232587
605		0.642953		0.0137227
606		0.644424		0.0218658
607		0.651287		0.0237816
608		0.655864		0.0213039
609		0.657916		0.0295992
610		0.661104		0.0311755
611		0.663835		0.058219
612		0.665006		0.0372818
613		0.668108		0.0471417
614		0.671795		0.0566778
615		0.673063		0.0403214
616		0.675783		0.015775
617		0.678147		0.0626475
618		0.678865		0.0212142
619		0.679622		0.0275507
620		0.684449		0.0737482
621		0.684921		0.0340784
622		0.685572		0.0164383
623		0.685877		0.0495296
624		0.686325		0.0185141
625		0.688132		0.0176128
626		0.687921		0.0542742
627		0.68743		0.0246868
628		0.687098		0.0197744
629		0.687601		0.0383197
630		0.687952		0.020902
631		0.689525		0.0219672
632		0.690699		0.0266494
633		0.6905		0.0248663
634		0.690777		0.0224471
635		0.690793		0.0327362
636		0.690941		0.0260797
637		0.690695		0.0271761
638		0.690719		0.0301766
639		0.690883		0.0281828
640		0.690961		0.0289866
641		0.690695		0.0307151
642		0.69027		0.0312691
643		0.689615		0.0298918
644		0.689287		0.0661397
645		0.692061		0.0233797
646		0.691686		0.0213976
647		0.691542		0.0310155
648		0.691803		0.0191774
649		0.691807		0.0228256
650		0.691144		0.0258261
651		0.691363		0.0265323
652		0.691503		0.0236879
653		0.691897		0.0122634
654		0.692326		0.00243473
655		0.691928		0.0269264
656		0.691312		0.00190018
657		0.691417		0.0206133
658		0.691757		0.0229739
659		0.691967		0.00281321
660		0.692759		0.00582541
661		0.693825		0.026505
662		0.694952		0.00239181
663		0.695545		0.0234967
664		0.696759		0.0298177
665		0.697777		0.000304342
666		0.698128		0.0413944
667		0.698409		0.0324163
668		0.698721		0.000768658
669		0.698924		0.00491238
670		0.697988		0.00357406
671		0.698253		0.00112372
672		0.698187		0.0442739
673		0.69773		0.0289632
674		0.697644		0.0374496
675		0.697192		0.0300206
676		0.696369		0.0317179
677		0.69661		0.0225096
678		0.696579		0.00471729
679		0.696829		0.0343516
680		0.696895		0.00456903
681		0.697344		0.0207381
682		0.697395		0.0165983
683		0.697699		0.00232548
684		0.698062		0.0144172
685		0.698202		0.0162355
686		0.698128		0.00266494
687		0.698062		0.0241444
688		0.698007		0.0179796
689		0.698202		0.00112762
690		0.698355		0.0440359
691		0.698277		0.0612936
692		0.698651		0.0597836
693		0.698936		0.0576649
694		0.699412		0.141757
695		0.698206		0.0623198
696		0.698421		0.061637
697		0.698557		0.0560106
698		0.698651		0.0298918
699		0.698639		0.0608371
700		0.698936		0.032467
701		0.699342		0.0427639
702		0.69926		0.0634708
703		0.699322		0.0510982
704		0.699076		0.0568572
705		0.699365		0.0572396
706		0.699911		0.055913
707		0.700032		0.0489288
708		0.700071		0.0557725
709		0.700458		0.0527174
710		0.700645		0.0298567
711		0.701484		0.0472549
712		0.701894		0.0422723
713		0.702167		0.0250379
714		0.701687		0.0408988
715		0.70205		0.0434233
716		0.702377		0.0488312
717		0.702947		0.0377579
718		0.703045		0.0282062
719		0.703868		0.256299
720		0.711769		0.0450465
721		0.710645		0.0380505
722		0.711437		0.0475592
723		0.710957		0.0286003
724		0.710989		0.0253891
